,Unnamed: 0,docid,string,label,start,end,Remove
49008,49008,5489,ALONSO FAJARDO,PER,0,2,0
49013,49013,5490,ALONSO FAJARDO,PER,0,2,0
49029,49029,5491,ALONSO FAJARDO,PER,0,2,0
49037,49037,5492,ALONSO FAJARDO,PER,0,2,0
71441,71441,8570,ALONSO FAJARDO,PER,244,246,0
70423,70423,8476,ALONSO FAJARDO,PER,115,117,0
70080,70080,8426,ALONSO FAJARDO,PER,48,50,0
49044,49044,5494,ALONSO FAJARDO,PER,0,2,0
49051,49051,5495,ALONSO FAJARDO,PER,0,2,0
49056,49056,5496,ALONSO FAJARDO,PER,0,2,0
49060,49060,5497,ALONSO FAJARDO,PER,0,2,0
49063,49063,5498,ALONSO FAJARDO,PER,0,2,0
49066,49066,5499,ALONSO FAJARDO,PER,14,16,0
70088,70088,8427,ALONSO FAJARDO,PER,15,17,0
49119,49119,5500,ALONSO FAJARDO,PER,65,67,0
49133,49133,5500,ALONSO FAJARDO,PER,997,999,0
49145,49145,5500,ALONSO FAJARDO,PER,1149,1151,0
49041,49041,5493,ALONSO FAJARDO,PER,0,2,0
48965,48965,5481,ALONSO FAJARDO,PER,0,2,0
48987,48987,5484,ALONSO FAJARDO,PER,4,6,0
70069,70069,8425,ALONSO FAJARDO,PER,130,132,0
70059,70059,8425,ALONSO FAJARDO,PER,23,25,0
48961,48961,5480,ALONSO FAJARDO,PER,0,2,0
48954,48954,5478,ALONSO FAJARDO,PER,42,44,0
48956,48956,5479,ALONSO FAJARDO,PER,0,2,0
70075,70075,8425,ALONSO FAJARDO,PER,207,209,0
49172,49172,5505,ALONSO FAJARDO DE LA TORRE,PER,22,27,0
54197,54197,6257,ALONSO LOPEZ,PER,0,2,0
61233,61233,7253,ALONSO LOPEZ,PER,7,9,0
54207,54207,6258,ALONSO LOPEZ,PER,41,43,0
54188,54188,6256,ALONSO LOPEZ,PER,0,2,0
54185,54185,6255,ALONSO LOPEZ,PER,34,36,0
54181,54181,6255,ALONSO LOPEZ,PER,2,4,0
47561,47561,5287,ALONSO MARTINEZ,PER,10,12,0
46410,46410,5127,ALONSO MIGUEL DE TOBAR,PER,860,864,0
62122,62122,7390,ALONSO PEREZ,PER,27,29,0
61318,61318,7267,ALONSO PEREZ,PER,64,66,0
62615,62615,7455,ALONSO PEREZ DE HERRERA,PER,3,7,0
61622,61622,7316,ALONSO PEREZ,PER,0,2,0
61628,61628,7317,ALONSO PEREZ,PER,0,2,0
58187,58187,6821,ALONSO PEREZ,PER,10,12,0
61614,61614,7314,ALONSO PEREZ,PER,0,2,0
61598,61598,7312,ALONSO PEREZ,PER,0,2,0
61578,61578,7308,ALONSO PEREZ,PER,0,2,0
61591,61591,7311,ALONSO PEREZ,PER,0,2,0
61567,61567,7306,ALONSO PEREZ,PER,65,67,0
61808,61808,7347,ALONSO PEREZ,PER,0,2,0
61629,61629,7318,ALONSO PEREZ,PER,0,2,0
61604,61604,7313,ALONSO PEREZ,PER,0,2,0
61587,61587,7309,ALONSO PEREZ,PER,21,23,0
61789,61789,7344,ALONSO PEREZ,PER,0,2,0
61803,61803,7346,ALONSO PEREZ,PER,0,2,0
61796,61796,7345,ALONSO PEREZ,PER,0,2,0
61589,61589,7310,ALONSO PEREZ,PER,0,2,0
61570,61570,7307,ALONSO PEREZ,PER,0,2,0
56761,56761,6581,ALONSO PEREZ,PER,29,31,0
61619,61619,7315,ALONSO PEREZ,PER,19,21,0
61781,61781,7342,ALONSO PEREZ,PER,43,45,0
61783,61783,7343,ALONSO PEREZ,PER,0,2,0
61664,61664,7323,ALONSO PEREZ,PER,0,2,0
58174,58174,6818,ALONSO PEREZ,PER,42,44,0
61752,61752,7338,ALONSO PEREZ,PER,22,24,0
61740,61740,7337,ALONSO PEREZ,PER,0,2,0
