,docid,match,string,start,end
793,1943,diego,diego,515,516
794,1944,costa,costa,224,225
795,1950,marcos,marcos,124,125
796,1950,costa,costa,208,209
797,1954,costa,costa,220,221
798,1955,costa,costa,815,816
799,1956,costa,costa,91,92
800,1958,martin,martin,112,113
801,1958,bautista,bautista,72,73
802,1963,marcos,marcos,57,58
803,1967,dancart,dancart,34,35
804,1967,costa,costa,128,129
805,1968,dancart,dancart,29,30
806,1970,dancart,dancart,2,3
807,1971,dancart,dancart,2,3
808,1973,marco,marco,2,3
809,1987,fernando,fernando,14,15
810,2032,marco,marco,3,4
811,2035,marco,marco,9,10
812,2056,niculas,niculas,2,3
813,2058,miguell,miguell,3,4
814,2071,corral,corral,24,25
815,2080,obispo de escalas,obispo de escalas,21,24
816,2098,miguel,miguel,8,9
817,2110,costa,costa,3,4
818,2111,vargas,Vargas,95,96
819,2122,miguel,miguel,31,32
820,2128,domingo,domingo,590,591
821,2128,alexos fernandes,alexos fernandes,596,598
822,2129,domingo,domingo,676,677
823,2129,alexos fernandes,alexos fernandes,681,683
824,2131,señor prouisor,señor prouisor,14,16
825,2133,alexos fernandes,alexos fernandes,28,30
826,2134,fernandez,fernandez,80,81
827,2134,señor prouisor,señor prouisor,67,69
828,2135,señor prouisor,señor prouisor,132,134
829,2137,corral,corral,13,14
830,2138,maria,maria,455,456
831,2138,corral,corral,33,34
832,2146,pedro,pedro,5,6
833,2147,maria,maria,8,9
834,2149,juan,juan,461,462
835,2149,"juan
",juan,461,462
836,2149,francisco,francisco,367,368
837,2149,garcia,garcia,369,370
838,2149,andres,andres,540,541
839,2149,ana,ana,492,493
840,2149,costa,costa,284,285
841,2161,nufrio,nufrio,6,7
842,2184,maldonado,maldonado,134,135
843,2185,maria,maria,233,234
844,2185,señor prouisor,señor prouisor,462,464
845,2186,costa,costa,1289,1290
846,2190,costa,costa,453,454
847,2192,felipe,felipe,13,14
848,2203,yñigo de ayala,yñigo de ayala,901,904
849,2203,costa,costa,829,830
850,2206,costa,costa,142,143
851,2207,maria,maria,99,100
852,2211,juo,Juo,31,32
853,2213,cano,cano,26,27
854,2216,pedro,Pedro,17,18
855,2218,juo,Juo,308,309
856,2229,pero herrandes,pero herrandes,7,9
857,2234,juo,Juo,138,139
858,2237,juo cauello,juo cauello,13,15
859,2237,juo,juo,13,14
860,2239,franco,franco,98,99
861,2239,costa,costa,521,522
862,2241,francisco,Francisco,239,240
863,2241,marco,marco,199,200
864,2242,costa,costa,274,275
865,2250,costa,costa,108,109
866,2251,costa,Costa,32,33
867,2254,felipe,Felipe,1517,1518
868,2261,costa,costa,29,30
869,2262,felipe,Felipe,600,601
870,2262,costa,costa,131,132
871,2263,costa,costa,74,75
872,2265,s. m.,S. M.,73,75
873,2265,felipe,Felipe,59,60
874,2265,costa,costa,107,108
875,2273,costa,costa,486,487
876,2280,gabriel,gabriel,21,22
877,2294,francisco,Francisco,33,34
878,2304,marco,marco,36,37
879,2307,pacheco,Pacheco,902,903
880,2307,andres,Andres,567,568
881,2307,joseph,Joseph,544,545
882,2307,costa,costa,1217,1218
883,2308,jeronimo de lara,Jeronimo de Lara,434,437
884,2311,juan,Juan,208,209
885,2311,"juan
",Juan,208,209
886,2311,bautista,bautista,284,285
887,2312,señor prouisor,señor prouisor,48,50
888,2312,cano,cano,1059,1060
889,2314,montañes,montañes,30,31
890,2317,joseph,Joseph,14,15
891,2319,felipe,Felipe,3,4
892,2320,marco,marco,258,259
893,2320,costa,costa,299,300
894,2321,costa,costa,804,805
895,2324,juan,Juan,108,109
896,2324,"juan
",Juan,108,109
897,2324,juan bautista,Juan bautista,108,110
898,2324,bautista,bautista,109,110
899,2324,costa,costa,200,201
900,2326,geronima,Geronima,24,25
901,2326,geronima de çamudio,Geronima de çamudio,24,27
902,2327,costa,costa,821,822
903,2329,diaz,Diaz,226,227
904,2331,costa,costa,978,979
905,2332,juan,Juan,101,102
906,2332,"juan
",Juan,101,102
907,2332,juan bautista,Juan bautista,101,103
908,2332,bautista,bautista,102,103
909,2332,costa,costa,224,225
910,2333,alonsso de coca,Alonsso de Coca,50,53
911,2333,marco,marco,281,282
912,2333,marcos,marcos,271,272
913,2333,costa,costa,366,367
914,2334,diaz,Diaz,187,188
915,2334,cano,Cano,42,43
916,2339,juan,Juan,39,40
917,2339,"juan
",Juan,39,40
918,2339,juan bautista,Juan Bautista,39,41
919,2339,bautista,Bautista,40,41
920,2340,costa,costa,196,197
921,2345,maria,maria,17,18
922,2346,sebastian,Sebastian,410,411
923,2346,angela,angela,486,487
924,2346,andrea,andrea,488,489
925,2354,martines montañes,martines montañes,331,333
926,2354,montañes,montañes,332,333
927,2356,bautista,bautista,5,6
928,2361,martines montañes,martines montañes,84,86
929,2361,montañes,montañes,85,86
930,2363,pablo,Pablo,120,121
931,2363,theresa,theresa,759,760
932,2385,costa,costa,86,87
933,2388,costa,costa,69,70
934,2404,maria,maria,32,33
935,2410,luisa,luisa,11,12
936,2411,maria,maria,307,308
937,2411,domingo de san pedro,domingo de san pedro,52,56
938,2411,pedro,pedro,55,56
939,2411,domingo,domingo,52,53
940,2411,miguel,miguel,868,869
941,2411,fernando,fernando,163,164
942,2423,marco,marco,153,154
943,2423,marcos,marcos,177,178
944,2427,marcos,marcos,21,22
945,2429,tomasa,tomasa,40,41
946,2432,juan,juan,80,81
947,2432,"juan
",juan,80,81
948,2437,cristobal,Cristobal,64,65
949,2437,cristobal ortiz,Cristobal ortiz,64,66
950,2443,costa,costa,137,138
951,2444,figueroa,figueroa,2,3
952,2454,marques de tarifa,marques de tarifa,29,32
953,2459,costa,costa,584,585
954,2462,isidro,Isidro,70,71
955,2462,joseph,joseph,110,111
956,2462,costa,costa,59,60
957,2471,josephe suero,josephe suero,13,15
958,2481,costa,costa,114,115
959,2485,costa,costa,145,146
960,2495,sebastian,Sebastian,99,100
961,2495,roque,roque,96,97
962,2495,francisco,francisco,101,102
963,2495,diego,diego,83,84
964,2496,pablo,pablo,246,247
965,2496,pedro,pedro,241,242
966,2499,juan,juan,148,149
967,2499,"juan
",juan,148,149
968,2501,costa,costa,101,102
969,2502,costa,costa,114,115
970,2505,ana,ana,79,80
971,2514,costa,costa,44,45
972,2518,antonio,antonio,34,35
973,2523,costa,costa,73,74
974,2527,legot,legot,1,2
975,2529,pablo,pablo,311,312
976,2529,pedro,pedro,307,308
977,2529,costa,costa,496,497
978,2536,catalina,catalina,107,108
979,2542,josefe,josefe,138,139
980,2542,costa,costa,62,63
981,2547,rufina,rufina,13,14
982,2547,justa rufina,justa rufina,12,14
983,2556,señor prouisor,señor prouisor,311,313
984,2556,ana,ana,231,232
985,2556,ana giron,ana giron,556,558
986,2580,costa,costa,25,26
987,2583,costa,costa,103,104
988,2595,juan,juan,43,44
989,2595,"juan
",juan,43,44
990,2595,juan bautista,juan bautista,43,45
991,2595,bautista,bautista,44,45
992,2600,ortega,ortega,28,29
993,2603,rufina,Rufina,84,85
994,2607,costa,costa,136,137
995,2612,pimentel,pimentel,174,175
996,2617,juan,juan,243,244
997,2617,"juan
",juan,243,244
998,2617,miguel,miguel,334,335
999,2617,andres,andres,13,14
1000,2632,francisco,francisco,71,72
1001,2636,ana,ana,43,44
1002,2643,antonio,antonio,58,59
1003,2643,costa,costa,127,128
1004,2668,giraldo polman,giraldo polman,81,83
1005,2671,roque,Roque,241,242
1006,2676,juan,juan,24,25
1007,2676,"juan
",juan,24,25
1008,2696,de obiedo,de obiedo,1,3
1009,2702,contreras,contreras,15,16
1010,2706,pablo,pablo,167,168
1011,2706,pedro,pedro,164,165
1012,2710,carlos,carlos,57,58
1013,2711,marcos,marcos,67,68
1014,2716,juan,juan,39,40
1015,2716,"juan
",juan,39,40
1016,2716,juan bautista,Juan bautista,63,65
1017,2716,bautista,bautista,64,65
1018,2720,costa,costa,413,414
1019,2723,antonio,antonio,30,31
1020,2724,juan de dios,juan de dios,37,40
1021,2724,juan,juan,37,38
1022,2724,"juan
",juan,37,38
1023,2724,juan de,juan de,37,39
1024,2724,costa,costa,34,35
1025,2725,benito,benito,37,38
1026,2726,costa,costa,44,45
1027,2727,fernando,fernando,253,254
1028,2727,costa,costa,118,119
1029,2735,teresa,teresa,259,260
1030,2739,domingo,domingo,58,59
1031,2739,domingo de urbin,domingo de urbin,58,61
1032,2743,juan,juan,223,224
1033,2743,"juan
",juan,223,224
1034,2743,juan baptista,juan baptista,223,225
1035,2751,pimentel,pimentel,478,479
1036,2751,xacinto pimentel,xacinto pimentel,477,479
1037,2757,rodrigo,rodrigo,20,21
1038,2758,phelipe,phelipe,135,136
1039,2758,felipe,felipe,75,76
1040,2762,martin,Martin,11,12
