,0
660,maior auila
661,manden vmdes
662,manrique zuñiga
663,mantin ynfante
664,manuel
665,manuel batellos
666,manuel mondi
667,manuel artiaga y alua
668,manuel beana
669,manuel castillootorgamos
670,manuel xorxe
671,manuela zurbaran
672,manuela pozi
673,marchena
674,marcos
675,margarita raymaquer
676,margarita yscoben
677,maria
678,maria cabañuela
679,mariana
680,mariana salbiche
681,mariana monbritte
682,marie
683,marques castillejo campo y veinticuatro
684,marques torrehermonsa
685,marquesa malagon y frechilla
686,martin eslotmans
687,martin latesa
688,martin osinaga
689,martin resurecion
690,martinez arriagaluis
691,martin anhular
692,martin sumeta
693,maria flessens
694,maria magdalena ondarzal y galardi
695,maria nicolasa duarte y acuna
696,maria chances
697,maria pasion
698,maria perralba
699,maria sedma
700,maria urrutera
701,maria varo
702,maria villafume estado
703,maria zeballa
704,maria concepcion y perca
705,maria presentador
706,maria 
707,marias
708,mateo basques
709,mateo orisal sagasta
710,mateo vrones
711,mathia cruz
712,mayordomia
713,mayordomo- asimismo
714,mechor escudo
715,mechor escuda
716,mejino
717,melchor escuda
718,melchor ulloe
719,melchora harres
720,memorial
721,men 
722,mexia
723,micaela
724,michaela
725,miguel
726,miguel bovis
727,miguel bozomo
728,miguel legot
729,miguel legote
730,miguel bobis
731,miguel gambarte
732,miguel pobea
733,miguel sanbarte
734,miguel sanvarte
735,miguel toredero
736,miguel usante
737,miguel viscanes
738,miguel zumarraga
739,miguel zuñiga
740,miguel çumarraga
741,miguel fid
742,miguel y
743,militaris s loannis hierosolymitani
744,moises
745,moises el milagro agua
746,montoro
747,mora
748,morales
749,muy ylles
750,monica quiras
751,napoles
752,niceforo
753,nicolas jurate
754,nicolas pujardo presbiteros
755,nicolas
756,nicolas longerot
757,nicolas managa
758,nicolas omazur
759,nicolas noseda
760,nicolas veraspe
761,nicolas zavele
762,nisa leal
763,niseforio meneses ponce
764,niseforo meneses benjumea
765,niseforo meneses ponce
766,nueftra señora
767,nuestro señor
768,nuestro señor crucificado
769,nuestro señor guarde
770,nufio orozco
771,nufio ortega
772,nufio sotomayor
773,nufrio
774,nufrio sanchez
