Casamayor de La Coma, María Andresa. Casandro Mamés de La Marca y Araioa
Alfinger (Ehinger) , Enrique
Alfinger (Talfinger) , Ambrosio
Alfonsín , Antonio
Alfonso V de Portugal. El Africano
Alfonso VI de Portugal
Alfonso XII de Trastámara
Alfonso , Juan Anselmo
Alfonso Blasco (o Velasco), Nicolás
Alfonso de Carvallo (o Carballo), Luis
Alfonso de Cavanillas, Isidro
Alfonso Flórez, Luis
Alfonso García, Rita. Rita Luna
Alfonso Navarrete , Beato
Alfonso Pimentel, Rodrigo. Conde de Benavente (IV), duque de Benavente (I)
Alfonso Rodríguez de Olmedo , Beato
Alfonso de Sousa de Portugal y Alfonso de Sousa, Rafael. Marqués de Guadalcázar (XIII)y de Hinojares
Alfonso de Sousa de Portugal y Fernández del Campo, Pedro. Marqués de Mejorada, Marqués de Guadalcázar (XII)
Alfonso de Sousa de Portugal y Guzmán, Isidro. Marqués de Guadalcázar (XIV)
Alfonso de Villagómez y Díaz de Quijada, Francisco
Alfonso-Villagómez y Lorenzana, Miguel
Alfranca y Castellote, Juan José
Ali Muddin
Ali Ponzoni, Fabio
Aliaga , Diego de
Aliaga , Juan de
Aliaga , Martín de
Aliaga , Miquel
Aliaga y Colmenares, Sebastián. Marqués de Celada de la Fuente, conde de San Juan de Lurigancho
Aliaga Martínez, Isidoro de
Aliaga Martínez, Luis de
Aliaga y Santa Cruz, Juan José. Conde de San Juan de Lurigancho, marqués de Celada de la Fuente
Alix Martínez, Juan
Allende-Salazar y Ordoño de Rosales, Pedro
Allende y Unzaga, Ignacio José
Allí , Juan
Alloitiz ( o Alloytiz) , Antonio de
Alloitiz (o Alloytiz) , Pedro
Allonville , Carlos Augusto de. Marqués de Louville
Allué , Cayetano
Allué y Sessé, Antonio
Almagro , Diego de. El Mozo
Almagro , Diego de
Almagro , Juan de
Almagro y Salas, Juan Antonio
Almagro y de la Torre, Juan María de
Almandoz , Francisco de
Almansa , Doctor
Almansa , Juan de
Almansa y León, Baltasar de
Almansa y Mendoza, Andrés de
Almanza , Pedro Advíncula de
Almazán , Francisco de
Almazán y Ximeno, Joaquín Andrés Antonio de
Almazor , Domingo
Almazul , Manuel de
Almeida , Cid de
Almeida , Ignacio
Almeida , Serafín Antonio
Almella , Juan Bautista. Juan Bautista Valenciano
Almella , Juan Jerónimo. Juan Jerónimo Valenciano
Almenar , Juan
Almendras Holguín, Martín de
Almesto , Pedrarias de
Almeyda Motta, Juan Pedro
Almodóvar Ruiz-Bravo, Antonio
Almoguera , Juan de
Almonacid , José de
Almonacid , Juan de
Almonaster Rojas, Andrés
Alonso , Ambrosio
Alonso , Bernabé
Alonso , Domingo
Alonso , Esteban
Alonso , Hernando
Alonso , Isidoro
Alonso , Juan
Alonso , Martín
Alonso , Miguel
Alonso , Pedro. Martín de Torrecilla. Fermín Rattariazi
Alonso , Pedro
Alonso , Rodrigo
Alonso , Tomás
Alonso Acosta Zorrilla, Zenón
Alonso de Andrade y San Juan, Vicente
Alonso Argüello, Francisco
Alonso de Asiego y Rivera, Juan
Alonso Barba, Álvaro
Alonso del Barrio, Millán
Alonso Bermejo, Antonio
Alonso de Burgos , Pedro
Alonso Butrón, Juan
Alonso Cordero, Santiago. Maragato Cordero
Alonso Cuevillas Remón, Ignacio. Cuevillas
Alonso y Fernández, Francisco de Paula
Alonso Flórez, Rodrigo
Alonso González, José
Alonso de Herrera , Gabriel
Alonso de Herrera , Hernando
Alonso Isla, Antonio
Alonso López y Nobal, Bernardo José
Alonso de Mena Navarrete , Beato
Alonso Montejo, José Vicente
Alonso de Orozco , San. El Santo de San Felipe
Alonso Ortiz y Rojo, José Domingo
Alonso Pacheco Alarcón , Beato
Alonso y Padilla, Pedro Joseph de
Alonso de Páramo y Muñoz, José
Alonso Pérez, Nicolás. Nicolás Alonso de Bobadilla
Alonso Pimentel y Borja, María Josefa. Duquesa de (XII) y Condesa de (XV) Benavente, Duquesa de Béjar, de Gandía y de Arcos, Marquesa de Javalquinto, Princesa de Anglona. Duquesa de Osuna (IX)
Alonso Pinzón, Martín
Alonso Prado, Gregorio
